name,city,type,phone,email,website,address,nickname
Močiučių restoranas,Palanga,Restoranas,+370 608 97737,rokovirtuve@gmail.com,http://www.rokovirtuve.lt/,"S. Daukanto g. 21 (ground floor, 00135 Palanga, Lietuva",mociuciu-restoranas
VANDENIS. Muzikos klubas. Restoranas,Palanga,Restoranas,+370 613 55551,manager@vandenis.lt,http://www.vandenis.lt/,"Birutės al. 47, 00135 Palanga, Lietuva",vandenis-muzikos-klubas-restoranas
deCuba,Palanga,Restoranas,+370 460 51011,,,"J. Basanavičiaus g. 28, 00135 Palanga, Lietuva",decuba
"Šeimos restoranas ""Monika""",Palanga,Kavinė,+370 604 77922,,,"J. Basanavičiaus g. 12, 00135 Palanga, Lietuva",seimos-restoranas-monika
deCuba,Palanga,Kavinė,+370 460 51011,,,"J. Basanavičiaus g. 28, 00135 Palanga, Lietuva",decuba
Ukrainietiška virtuvė,Palanga,Kavinė,+370 670 95181,info@ukrainietiskavirtuve.lt [gen],http://www.ukrainietiskavirtuve.lt/,"S. Daukanto g. 6, 00216 Palanga, Lietuva",ukrainietiska-virtuve
"Kavinė-restoranas Palangoje ""Floros simfonija""",Palanga,restoranas,+370 616 03335,,https://www.vilaartemide.lt/en/,,kavine-restoranas-palangoje-floros-simfonija
Restoranas ir terasa „Lagūna“ Šventojoje prie pat jūros,Palanga,restoranas,+370 676 47693,,https://www.vilaartemide.lt/en/,,restoranas-ir-terasa-laguna-sventojoje-prie-pat-juros
"Viešbutis ""Grand Baltic DUNES"" ****PLIUS - modernūs kambariai, restoranas, konferencijų salė, grožio ir SPA paslaugos",Palanga,restoranas,+37061522255,,https://www.vilaartemide.lt/en/,,viesbutis-grand-baltic-dunes-plius-modernus-kambariai-restor-2
"Restoranas ""grás"" Palangoje - subtilia prabanga ir moderniu minimalizmu alsuojanti aplinka Jūsų puikiam laiko praleidimui!",Palanga,restoranas,+370 665 90301,,https://www.vilaartemide.lt/en/,,restoranas-gras-palangoje-subtilia-prabanga-ir-moderniu-mini
"Viešbutis Palangoje ""Gabija"" **** PLIUS. Yra restoranas, konferencijų salė, SPA - sveikatingumo centras",Palanga,restoranas,+37069995973,,https://www.vilaartemide.lt/en/,,viesbutis-palangoje-gabija-plius-yra-restoranas-konferenciju-2
Restorano „grás“ stiklinis namelis lauke,Palanga,restoranas,+370 655 90301,,https://www.vilaartemide.lt/en/,,restorano-gras-stiklinis-namelis-lauke
"Restoranas ""Mūza"" Palangoje",Palanga,restoranas,+370 676 02204,,https://www.vilaartemide.lt/en/,,restoranas-muza-palangoje
"Restoranas Palangoje “Poko Pasta & Salad” viešbutyje ""Grand Baltic DUNES""",Palanga,restoranas,+370 615 22255,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-poko-pasta-salad-viesbutyje-grand-balti
"Restoranas-baras ""Palangos žuvėdra""",Palanga,restoranas,+370 460 53253,,https://www.vilaartemide.lt/en/,,restoranas-baras-palangos-zuvedra
"Kavinė Palangoje ""Armėniška virtuvė"" (ATNAUJINTA 2025 m.!)",Palanga,restoranas,+370 652 87579 (INGA),,https://www.vilaartemide.lt/en/,,kavine-palangoje-armeniska-virtuve-atnaujinta-2025-m
"Viešbutis - SPA ""Palangos žuvėdra""",Palanga,restoranas,+37065540083,,https://www.vilaartemide.lt/en/,,viesbutis-spa-palangos-zuvedra-2
"Palanga Centrum. Rami vieta centre, šalia jūros, su patogumais",Palanga,restoranas,+37061633999,info@palangacentrum.lt,https://www.vilaartemide.lt/en/,,palanga-centrum-rami-vieta-centre-salia-juros-su-patogumais
"Naujieji metai Palangoje 2026 – viešbutyje ""Palanga Life Balance SPA"" *****",Palanga,restoranas,+370 460 41414,info@palangahotel.lt,https://www.vilaartemide.lt/en/,,naujieji-metai-palangoje-2026-viesbutyje-palanga-life-balanc
Žilvinas Hotel Palanga – 2-3 kambarių apartamentai vos 200 m iki jūros!,Palanga,restoranas,+37061497788,,https://www.vilaartemide.lt/en/,,zilvinas-hotel-palanga-2-3-kambariu-apartamentai-vos-200-m-i-2
"Restoranas Palangoje ""Molinis ąsotis""",Palanga,restoranas,+370 699 31226,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-molinis-sotis
Restoranas „Resort Pub“,Palanga,restoranas,+370 686 80098,info@resortpub.lt,https://www.vilaartemide.lt/en/,,restoranas-resort-pub
Restoranas Palangoje – viešbutyje „Mercure Palanga Vanagupė Resort“,Palanga,restoranas,+370 460 41199,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-viesbutyje-mercure-palanga-vanagupe-res
"Restoranas ""Floros Simfonija Mahorta"" Palangoje",Palanga,restoranas,+370 616 03335,,https://www.vilaartemide.lt/en/,,restoranas-floros-simfonija-mahorta-palangoje
"Restoranas poilsio ir švenčių oazėje ""Želvė Village & SPA""",Palanga,restoranas,+370 460 20420,,https://www.vilaartemide.lt/en/,,restoranas-poilsio-ir-svenciu-oazeje-zelve-village-spa
"Kavinė Palangoje ""Ukrainietiška virtuvė""",Palanga,restoranas,+370 670 95181,vilazvaigzde@gmail.com,https://www.vilaartemide.lt/en/,,kavine-palangoje-ukrainietiska-virtuve
"Ship Pub - gastrobaras Palangoje (buvęs restoranas ""Feliksas"")",Palanga,restoranas,+370 612 12158,hotel@feliksas.lt,https://www.vilaartemide.lt/en/,,ship-pub-gastrobaras-palangoje-buves-restoranas-feliksas
Restoranas „Žuvinė“ – išskirtiniai jūros skoniai Palangos širdyje,Palanga,restoranas,+370 656 59647,palanga@zuvine.lt,https://www.vilaartemide.lt/en/,,restoranas-zuvine-isskirtiniai-juros-skoniai-palangos-sirdyj
"Restoranas, banketų salės „RADAILIŲ DVARE“ – 7 km nuo Klaipėdos",Palanga,restoranas,+370 652 55666,,https://www.vilaartemide.lt/en/,,restoranas-banketu-sales-radailiu-dvare-7-km-nuo-klaipedos
"Kavinė Palangoje ""Ronžė""",Palanga,restoranas,+370 640 25520,,https://www.vilaartemide.lt/en/,,kavine-palangoje-ronze
Du broliai - restoranas Palangoje,Palanga,restoranas,+370 460 40040,,https://www.vilaartemide.lt/en/,,du-broliai-restoranas-palangoje
"Restoranas Palangoje, viešbutyje ""Best Palanga Hotel""",Palanga,restoranas,+370 665 13 768,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-viesbutyje-best-palanga-hotel
Grand Baltic Dunes | Sutikite 2026-uosius Palangoje,Palanga,restoranas,+370 615 22255,hotel@grandbalticdunes.com,https://www.vilaartemide.lt/en/,,grand-baltic-dunes-sutikite-2026-uosius-palangoje
"Restoranas Palangoje viešbutyje ""Medūza""",Palanga,restoranas,+370  460 56450,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-viesbutyje-meduza
"Restoranas ""All Aces"" viešbutyje ""Resort Hotel Elija""",Palanga,restoranas,+370 669 86000,,https://www.vilaartemide.lt/en/,,restoranas-all-aces-viesbutyje-resort-hotel-elija
"Restoranas Palangoje ""Pušų paunksnėje""",Palanga,restoranas,+370 460 49080,info@pusupaunksneje.lt,https://www.vilaartemide.lt/en/,,restoranas-palangoje-pusu-paunksneje
Restoranas „Čaginas“ – kulinarinė kelionė į XIX amžiaus diduomenės pasaulį,Palanga,restoranas,+370 460 53555,dainiusraupelis@gmail.com,https://www.vilaartemide.lt/en/,,restoranas-caginas-kulinarine-kelione-i-xix-amziaus-diduomen
Restoranas viešbutyje „Baltic Inn“ – skonių harmonija pačioje Palangos širdyje,Palanga,restoranas,+370 460 30400,reservation@balticinn.lt,https://www.vilaartemide.lt/en/,,restoranas-viesbutyje-baltic-inn-skoniu-harmonija-pacioje-pa
Restoranas Palangoje „MEAT Steak House“ – viešbutyje „Gabija“,Palanga,restoranas,+370 612 06029,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-meat-steak-house-viesbutyje-gabija
de Cuba - restoranas Palangoje,Palanga,restoranas,+370 460 51011,,https://www.vilaartemide.lt/en/,,de-cuba-restoranas-palangoje
„Kavos Draugas“ – kavos ir kavos aparatų mažmeninės prekybos tinklas,Palanga,restoranas,+370 665 01221,,https://www.vilaartemide.lt/en/,,kavos-draugas-kavos-ir-kavos-aparatu-mazmenines-prekybos-tin
Naujieji metai 2026 viešbutyje „Mercure Palanga Vanagupė Resort“,Palanga,restoranas,+370 460 41199,HC108-FO@accor.com,https://www.vilaartemide.lt/en/,,naujieji-metai-2026-viesbutyje-mercure-palanga-vanagupe-reso
"Restoranas Palangoje ""Baras 1925""",Palanga,restoranas,+370 460 52526,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-baras-1925
"Banketai, furšetai viešbutyje PALANGOS VĖTRA ****",Palanga,restoranas,+370 611 36169,hotel@palangosvetra.lt,https://www.vilaartemide.lt/en/,,banketai-fursetai-viesbutyje-palangos-vetra
Kavinė Palangoje „Senas židinys“,Palanga,restoranas,+370 600 12470,,https://www.vilaartemide.lt/en/,,kavine-palangoje-senas-zidinys
"Renginiai Palangoje restorane - klube ""VANDENIS"". Kiekvieną savaitgalį visus metus!",Palanga,restoranas,+370 620 33998,,https://www.vilaartemide.lt/en/,,renginiai-palangoje-restorane-klube-vandenis-kiekvien-savait
"Baras-restoranas Palangoje ""Vila Gražina""",Palanga,restoranas,+370 616 10744,,https://www.vilaartemide.lt/en/,,baras-restoranas-palangoje-vila-grazina
"Naujieji metai Palangoje, viešbutyje ""Gabija"", Meat Steak House restorane!",Palanga,restoranas,+370 699 95973,info@gabija.lt,https://www.vilaartemide.lt/en/,,naujieji-metai-palangoje-viesbutyje-gabija-meat-steak-house-
"Restoranas Palangoje ""Karlas Grill House"" viešbutyje ""Kerpė"" ****",Palanga,restoranas,+370 460 52379,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-karlas-grill-house-viesbutyje-kerpe
Viešbutis Palanga Life Balance SPA ***** Palangoje,Palanga,restoranas,+37046041414,,https://www.vilaartemide.lt/en/,,viesbutis-palanga-life-balance-spa-palangoje-2
"Restoranas Palangoje, Kunigiškiuose ""BRIZO"", 150 metrų iki jūros!",Palanga,restoranas,+370 632 22988,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-kunigiskiuose-brizo-150-metru-iki-juros
"Restoranas Palangoje „Pineta“, sanatorijoje „Gradiali“",Palanga,restoranas,+370 667 22804,,https://www.vilaartemide.lt/en/,,restoranas-palangoje-pineta-sanatorijoje-gradiali
Kukudra,Kretinga,Restoranas,+370 46 446736,info@kukudra.lt [gen],https://www.kukudra.lt/,"Klaipėdos gatvė 16, 96332 Kretingalė, Lietuva",kukudra
Kavinė Čiobrelis,Kretinga,Restoranas,+370 607 00878,,,"Vilniaus g. 6, Kretinga, 97108 Kretingos r. sav., Lietuva",kavine-ciobrelis
Vienkiemis,Kretinga,Restoranas,+370 685 69549,vienkiemis.sodyba@gmail.com,https://vienkiemis.lt/,"Vienkiemio g 3, 97196 Kretinga, Lietuva",vienkiemis
Kavainė,Kretinga,Restoranas,+370 628 78800,,,"Trumpoji g. 2, Vytauto g. 9, 97131 Kretinga, Lietuva",kavaine
Pas Grafą,Kretinga,Restoranas,+370 445 51366,v.lazauskiene@gmail.com,http://www.pasgrafa.lt/,"Vilniaus g. 20, 97104 Kretinga, Lietuva",pas-grafa
Retro čeburekai,Kretinga,Restoranas,+370 445 54820,,https://www.facebook.com/Kavin%C4%97-Retro-116442690264448/,"Lazdynų g. 6, 97117 Kretinga, Lietuva",retro-ceburekai
Užkandinė Alyva,Kretinga,Restoranas,+370 672 95454,,,"Klaipėdos g. 20, 97154 Kretinga, Lietuva",uzkandine-alyva
Britanija Rock Pub,Kretinga,Restoranas,+370 650 35503,,https://www.facebook.com/Britanijapub,"Vytauto g. 26A, 97131 Kretinga, Lietuva",britanija-rock-pub
Pakalnutė,Kretinga,Restoranas,+370 445 58703,,,"M. Valančiaus g. 3, 97313 Salantai, Lietuva",pakalnute
"Kavinė ""Snack bar""",Kretinga,Restoranas,+370 677 23716,,http://www.facebook.com/Snack-bar-1286959344657282,"J. Basanavičiaus g. 60, 97125 Kretinga, Lietuva",kavine-snack-bar
Kavinė Čiobrelis,Kretinga,Kavinė,+370 607 00878,,,"Vilniaus g. 6, Kretinga, 97108 Kretingos r. sav., Lietuva",kavine-ciobrelis
Kavainė,Kretinga,Kavinė,+370 628 78800,,,"Trumpoji g. 2, Vytauto g. 9, 97131 Kretinga, Lietuva",kavaine
Kryžkelė,Kretinga,Kavinė,+370 606 56669,,,"97101 Kretinga, Lietuva",kryzkele
Pas Sigitą,Kretinga,Kavinė,+370 609 07679,,,"J. Basanavičiaus g. 61, 97125 Kretinga, Lietuva",pas-sigita
Kepyklėlė „Prezo”,Kretinga,restoranas,+37044573102,info@prezo.lt,https://visitkretinga.lt/,,kepyklele-prezo
Greitojo maisto užkandinė „Hesburger”,Kretinga,restoranas,+37044573102,svietimocentras@kretingosrsc.lt,https://visitkretinga.lt/where-to-eat/hesburger/,,greitojo-maisto-uzkandine-hesburger
Kavinė „Arka“,Kretinga,restoranas,+37044573102,arkakretinga@gmail.com,https://visitkretinga.lt/where-to-eat/cafe-arka-2/,,kavine-arka
Baras „BRIUSLY”,Kretinga,restoranas,+37044573102,%20info@313cablepark.lt,https://visitkretinga.lt/where-to-eat/briusly-bar/,,baras-briusly
„Centro pica ir kebabai”,Kretinga,restoranas,+37044573102,svietimocentras@kretingosrsc.lt,https://visitkretinga.lt/where-to-eat/pizzeria-centro-pica-ir-kebabai/,,centro-pica-ir-kebabai
Kavinė „Vienkiemis“,Kretinga,restoranas,+37044573102,vienkiemis.sodyba@gmail.com,https://visitkretinga.lt/where-to-eat/cafe-vienkiemis/,,kavine-vienkiemis
Pepper Grey,Klaipėda,Restoranas,+370 654 27770,info@armen.lt,http://peppergrey.lt/,"Vingio g. 21, 95203 Klaipėda, Lietuva",pepper-grey
Momo grill Klaipėda,Klaipėda,Restoranas,+370 693 12355,info@momogrill.lt [gen],http://momogrill.lt/,"Liepų g. 20, 92113 Klaipėda, Lietuva",momo-grill-klaipeda
"Restoranas ""Meridianas""",Klaipėda,Restoranas,+370 601 31866,info@restoranasmeridianas.lt,http://www.restoranasmeridianas.lt/,"Kairioji Danės krantinė, Kurpių g., 91249 Klaipėda, Lietuva",restoranas-meridianas
Baltas Ruonis,Klaipėda,Restoranas,+370 673 23306,,https://www.facebook.com/baltas.ruonis.restoranas/,"Vėtros g. 8, 92276 Klaipėda, Lietuva",baltas-ruonis
Monai,Klaipėda,Restoranas,+370 626 63362,vadyba@restoranasmonai.lt,http://www.restoranasmonai.lt/,"Liepų g. 4, 92114 Klaipėda, Lietuva",monai
Vivalavita,Klaipėda,Restoranas,+370 686 54701,info@ambertonhotels.com [gen],https://ambertonhotels.com/klaipeda-restoranai-ir-barai/,"Naujojo Sodo g. 1A, 92118 Klaipėda, Lietuva",vivalavita
Klaipėdos senamiestis Vilnius,Klaipėda,Restoranas,+370 699 91122,,,"Tilto g. 2a, 01120 Vilnius, Lietuva",klaipedos-senamiestis-vilnius
Panoraminis restoranas XII,Klaipėda,Restoranas,+370 46 404375,info@ambertonhotels.com [gen],http://ambertonhotels.com/klaipeda,"Naujojo Sodo g. 1, 92118 Klaipėda, Lietuva",panoraminis-restoranas-xii
Friedricho pasažas,Klaipėda,Restoranas,+370 46 411076,,,"Tiltų g. 26A, 91246 Klaipėda, Lietuva",friedricho-pasazas
GRASSO,Klaipėda,Restoranas,+370 646 91161,,,"S. Šimkaus g. 6, 92128 Klaipėda, Lietuva",grasso
Kavinė Klaipėdos Senamiestis,Klaipėda,Kavinė,+370 644 14461,info@klaipedos-senamiestis.lt [gen],http://www.klaipedos-senamiestis.lt/,"Kepėjų g. 13, 91248 Klaipėda, Lietuva",kavine-klaipedos-senamiestis
Klaipėdos senamiestis Vilnius,Klaipėda,Kavinė,+370 699 91122,,,"Tilto g. 2a, 01120 Vilnius, Lietuva",klaipedos-senamiestis-vilnius
Ateik Ateik Jūra,Klaipėda,Kavinė,+370 605 15535,,,"Vėtros g. 8, 92278 Klaipėda, Lietuva",ateik-ateik-jura
10 tiltų,Klaipėda,Kavinė,+370 698 80216,,https://www.facebook.com/10tiltukavine/,"Turgaus g. 19, 91249 Klaipėda, Lietuva",10-tiltu
Senoji Hansa Klaipėda,Klaipėda,Kavinė,+370 618 10098,,,"Kurpių g., 91248 Klaipėda, Lietuva",senoji-hansa-klaipeda
Švyturys Bhouse,Klaipėda,Kavinė,+370 648 43555,info@svyturysbrewery.lt [gen],http://svyturysbrewery.lt/gastro-baras/,"Kūlių Vartų g. 7, 91251 Klaipėda, Lietuva",svyturys-bhouse
Friedricho pasažas,Klaipėda,Kavinė,+370 46 411076,,,"Tiltų g. 26A, 91246 Klaipėda, Lietuva",friedricho-pasazas
„Trapiche Steakhouse“ – Argentinos skonių kampelis Klaipėdoje,Klaipėda,restoranas,+370 463 01070,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,trapiche-steakhouse-argentinos-skoniu-kampelis-klaipedoje
Sutikite Naujus 2024 metus Drevernos Uoste!,Klaipėda,restoranas,+370 601 66270,ieva@hortivita.lt,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,sutikite-naujus-2024-metus-drevernos-uoste
"Restoranas Klaipėdoje viešbutyje ""EUTERPĖ""",Klaipėda,restoranas,+370 46 474703,hotel@euterpe.lt,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,restoranas-klaipedoje-viesbutyje-euterpe
TABU restobaras Klaipėdoje,Klaipėda,restoranas,+370 606 22255,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,tabu-restobaras-klaipedoje
National Golf Resort klubo restoranas,Klaipėda,restoranas,+370 655 22222,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,national-golf-resort-klubo-restoranas
"Restoranas ""Biskvitas"" - Maitinimo paslaugos Jūsų šventei.",Klaipėda,restoranas,+370 670 39535,info@biskvitas.lt,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,restoranas-biskvitas-maitinimo-paslaugos-jusu-sventei
"Šašlykinė - restoranas ""Nerija"" Smiltynėje, Kuršių nerijoje",Klaipėda,restoranas,+370 607 78573,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,saslykine-restoranas-nerija-smiltyneje-kursiu-nerijoje
"Šeimos restobaras „La Siesta“ Karklėje, 69 m iki jūros!",Klaipėda,restoranas,+370 684 27333,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,seimos-restobaras-la-siesta-karkleje-69-m-iki-juros
Friedricho Restoranas Klaipėdoje,Klaipėda,restoranas,+370 612 34567,info@pasazas.lt,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,friedricho-restoranas-klaipedoje
"Gimtadienis, vestuvės, banketai bei kitos, jūsų norimos, šventės „Meridiane“!",Klaipėda,restoranas,+370 601 31866,info@restoranasmeridianas.lt,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,gimtadienis-vestuves-banketai-bei-kitos-jusu-norimos-sventes
Friedricho Vyninė,Klaipėda,restoranas,+370 46 486959,info@pasazas.lt,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,friedricho-vynine
"Restoranas, banketų salės „RADAILIŲ DVARE“ – 7 km nuo Klaipėdos",Klaipėda,restoranas,+370 652 55666,,https://www.vilaartemide.lt/en/,,restoranas-banketu-sales-radailiu-dvare-7-km-nuo-klaipedos-2
Banketinė salė svečių namuose „Aismarės“ Klaipėdoje,Klaipėda,restoranas,+37061777399,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,banketine-sale-sveciu-namuose-aismares-klaipedoje-2
"Restoranas - Kavinė viešbutyje ""Lijo"" Gargžduose, Klaipėdos rajonas",Klaipėda,restoranas,+370 464 70430,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,restoranas-kavine-viesbutyje-lijo-gargzduose-klaipedos-rajon
"""MEMELIO DVARAS"" - pokylių salė, pirtis, apartamentai - visoms jūsų šventėms!",Klaipėda,restoranas,+37061550504,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,memelio-dvaras-pokyliu-sale-pirtis-apartamentai-visoms-jusu-
Friedricho Smuklė,Klaipėda,restoranas,+370 46 211390,pasazo.smukle@gmail.com,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,friedricho-smukle
„Kavos Draugas“ – kavos ir kavos aparatų mažmeninės prekybos tinklas,Klaipėda,restoranas,+370 665 01221,,https://www.vilaartemide.lt/en/,,kavos-draugas-kavos-ir-kavos-aparatu-mazmenines-prekybos-tin-2
Restoranas Felsner – elegancijos ir modernios europietiškos virtuvės kampelis Klaipėdoje,Klaipėda,restoranas,+370 658 20121,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,restoranas-felsner-elegancijos-ir-modernios-europietiskos-vi
"Konferencijų salės viešbutyje ""Navalis""",Klaipėda,restoranas,+370 686 88525,vip@tubinas.lt,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,konferenciju-sales-viesbutyje-navalis
"Restoranas, konferencijų salė viešbutyje ""ASTRA"" Klaipėdos senamiestyje",Klaipėda,restoranas,+370 46 313849,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,restoranas-konferenciju-sale-viesbutyje-astra-klaipedos-sena
Friedricho Svečių namai ****,Klaipėda,restoranas,+37046391020,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,friedricho-sveciu-namai-2
"Restoranas Klaipėdoje viešbutyje ""Promenada""",Klaipėda,restoranas,,info@promenada.lt [gen],https://promenada.lt/wp-content/themes/promenada2/favicon.ico,,restoranas-klaipedoje-viesbutyje-promenada
Viešbutis ARARAT All Suites Hotel Klaipeda,Klaipėda,restoranas,+37046400880,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,viesbutis-ararat-all-suites-hotel-klaipeda-2
"Viešbutis Klaipėdos senamiestyje ""Euterpė"" ****",Klaipėda,restoranas,+37046474703,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,viesbutis-klaipedos-senamiestyje-euterpe-2
"""Michaelson boutique Hotel"" Jaukūs kambariai, konferencijų salės ir restoranas",Klaipėda,restoranas,+37064063378,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,michaelson-boutique-hotel-jaukus-kambariai-konferenciju-sale-2
AcTIVE HOTEL Klaipėda,Klaipėda,restoranas,+37060327222,,https://www.simplebooking.it/ibe/hotelbooking/search?hid=7326&lang=EN,,active-hotel-klaipeda-2
Varna. Terasa,Nida,Restoranas,+370 665 36088,,https://m.facebook.com/varna.terasa/,"Naglių g. 31, 93123 Nida, Lietuva",varna-terasa
Kavinė „Nidos Kuršis“,Nida,Restoranas,+370 469 52804,,,"Naglių g. 29, 93123 Nida, Lietuva",kavine-nidos-kursis
Perlas,Nida,Restoranas,+370 601 84644,,,"Naglių g. 16, 93123 Nida, Lietuva",perlas
Tik pas Joną,Nida,Restoranas,+370 620 82084,,,"Naglių g. 6, 93123 Nida, Lietuva",tik-pas-jona
Irklas,Nida,Restoranas,+370 679 33215,,,"Naglių g. 16, 93123 Nida, Lietuva",irklas
Kavinė “Agila”,Nida,Restoranas,+370 628 56211,info@agilanida.lt,https://agilanida.lt/,"Taikos g. 4, Nida, 93127 Neringos sav., Lietuva",kavine-agila
Nidos prieplauka,Nida,Restoranas,+370 614 91181,labas@nidosprieplauka.lt,http://nidosprieplauka.lt/,"Naglių g. 16, 93123 Nida, Lietuva",nidos-prieplauka
Gitanos blynai,Nida,Restoranas,+370 650 78751,,,"Naglių g. 18M, 93123 Nida, Lietuva",gitanos-blynai
Sakutis,Nida,Restoranas,+370 614 73733,,https://m.facebook.com/sakutis/,"Naglių g. 14A, 93123 Nida, Lietuva",sakutis
Toda Nida,Nida,Restoranas,+370 614 24544,,,"Taikos g. 32b, 93121 Nida, Lietuva",toda-nida
"Nida, kavinė, Stiklo terasa",Nida,Kavinė,+370 445 76223,,,"Rotušės a. 17, 97140 Kretinga, Lietuva",nida-kavine-stiklo-terasa
